"全国地方公共団体コード","識別値","種別","名称","住所","郵便番号","緯度","経度","面積（平方メートル）","",""
"23230","","運動公園","総合運動公園","愛知県日進市岩藤町大清水919-1他/藤島町長塚75-268他","4700104","35.14744","137.0706","180700","",""
"23230","","地区公園","上納池スポーツ公園","愛知県日進市浅田町西田面155-1（他51筆）","4700124","35.12581","137.0169","31523","",""
"23230","","歴史公園","岩崎城址公園","愛知県日進市岩崎町市場67（他51筆）","4700131","35.14579","137.0425","15268","",""
"23230","","都市緑地","水晶山緑地","愛知県日進市香久山四丁目1308-1（他1筆）","4700134","35.14624","137.0267","36448","",""
"23230","","近隣公園","株山中央公園","愛知県日進市香久山五丁目1919","4700134","35.14084","137.0285","22800","",""
"23230","","近隣公園","梅森台公園","愛知県日進市梅森台三丁目7","4700133","35.13783","137.0137","10022","",""
"23230","","近隣公園","野方三ツ池公園","愛知県日進市折戸町定納79-9（他1筆）","4700115","35.12676","137.0339","20512","",""
"23230","","近隣公園","米野木中央公園","愛知県日進市米野木台二丁目801","4700118","35.12684","137.0653","9994","",""
"23230","","近隣公園","弁天池公園","愛知県日進市竹の山三丁目601","4700136","35.15042","137.0375","21395","",""
"23230","","街区公園","三ケ峯中央公園","愛知県日進市米野木町三ケ峯4-347","4700111","35.14579","137.0958","4545","",""
"23230","","街区公園","三ケ峯東公園","愛知県日進市米野木町三ケ峯4-338","4700111","35.14668","137.0972","2164","",""
"23230","","街区公園","南山エピック西公園","愛知県日進市米野木町南山973-16","4700111","35.13647","137.0798","6243","",""
"23230","","街区公園","南山エピック東公園","愛知県日進市米野木町南山973-237","4700111","35.13595","137.0864","2213","",""
"23230","","街区公園","南山エピック南公園","愛知県日進市米野木町南山973-264","4700111","35.13361","137.0841","1533","",""
"23230","","街区公園","南山エピック北公園","愛知県日進市米野木町南山973-53","4700111","35.13637","137.0832","1479","",""
"23230","","街区公園","みゆき公園","愛知県日進市岩崎町芦廻間112-804/岩崎台四丁目1717","4700131","35.151","137.0291","8921","",""
"23230","","街区公園","わんだ池公園","愛知県日進市岩崎町芦廻間112-925（他4筆）","4700131","35.14964","137.0326","1099","",""
"23230","","街区公園","竹ノ山団地公園","愛知県日進市岩崎町竹ノ山149-392","4700131","35.15678","137.041","2611","",""
"23230","","街区公園","展望台公園","愛知県日進市岩崎町竹ノ山149-373","4700131","35.15588","137.0418","1803","",""
"23230","","街区公園","岩根台公園","愛知県日進市岩崎町岩根34","4700131","35.14709","137.0352","2376","",""
"23230","","街区公園","五色園とんねる公園","愛知県日進市五色園二丁目2716","4700105","35.15251","137.0653","4058","",""
"23230","","街区公園","五色園あおぞら公園","愛知県日進市五色園三丁目610","4700105","35.15428","137.0613","1952","",""
"23230","","街区公園","五色園どんぐり公園","愛知県日進市五色園一丁目1301","4700105","35.15073","137.0681","1623","",""
"23230","","街区公園","五色園ひばり公園","愛知県日進市五色園三丁目1606、1610","4700105","35.15695","137.0618","1415.04","",""
"23230","","街区公園","五色園さんかく公園","愛知県日進市五色園一丁目905","4700105","35.15069","137.071","1264","",""
"23230","","街区公園","五色園やまばと公園","愛知県日進市五色園一丁目1712","4700105","35.15253","137.0691","1201","",""
"23230","","街区公園","南ケ丘二丁目公園","愛知県日進市南ケ丘二丁目15","4700114","35.11544","137.0443","3455","",""
"23230","","街区公園","南ケ丘三丁目公園","愛知県日進市南ケ丘三丁目6","4700114","35.11121","137.0419","2593","",""
"23230","","街区公園","西山公園","愛知県日進市梅森台一丁目64、65","4700133","35.13329","137.0129","3251","",""
"23230","","街区公園","にしうしろ公園","愛知県日進市梅森台五丁目149","4700133","35.13393","137.0089","2733","",""
"23230","","街区公園","惣池公園","愛知県日進市竹の山一丁目508","4700136","35.16132","137.0409","1800","",""
"23230","","街区公園","丸根公園","愛知県日進市赤池四丁目401","4700125","35.11866","137.0136","2450","",""
"23230","","街区公園","中島公園","愛知県日進市赤池一丁目2101（他3筆）","4700125","35.12057","137.0151","3319.92","",""
"23230","","街区公園","前田公園","愛知県日進市赤池二丁目701、702、703","4700125","35.12137","137.0203","2189","",""
"23230","","街区公園","平池公園","愛知県日進市赤池三丁目501","4700125","35.11993","137.0178","1645","",""
"23230","","街区公園","中之狭間東公園","愛知県日進市栄一丁目305","4700113","35.11602","137.0494","1500","",""
"23230","","街区公園","中之狭間西公園","愛知県日進市栄一丁目1603","4700113","35.11661","137.0476","1171","",""
"23230","","街区公園","こもれび公園","愛知県日進市香久山三丁目2228","4700134","35.14386","137.0234","2500","",""
"23230","","街区公園","すずかぜ公園","愛知県日進市香久山五丁目1905","4700134","35.14224","137.03","7299","",""
"23230","","街区公園","ひだまり公園","愛知県日進市香久山一丁目3930","4700134","35.1381","137.0289","2500","",""
"23230","","街区公園","そよかぜ公園","愛知県日進市香久山二丁目2828","4700134","35.14129","137.0244","3800","",""
"23230","","街区公園","けやき公園","愛知県日進市岩崎台三丁目2209","4700135","35.1528","137.0257","5000","",""
"23230","","街区公園","もみじ公園","愛知県日進市岩崎台二丁目2309","4700135","35.1504","137.0255","5001","",""
"23230","","街区公園","出屋敷公園","愛知県日進市栄三丁目911","4700113","35.12163","137.0495","2000","",""
"23230","","街区公園","栄公園","愛知県日進市栄二丁目702","4700113","35.12006","137.0505","1000","",""
"23230","","街区公園","東山公園","愛知県日進市栄三丁目1601","4700113","35.1221","137.0522","2100","",""
"23230","","街区公園","福池公園","愛知県日進市栄四丁目1001","4700113","35.12077","137.0544","2000","",""
"23230","","街区公園","梨子ノ木公園","愛知県日進市栄四丁目1802","4700113","35.11947","137.056","2650","",""
"23230","","街区公園","赤池南1号公園","愛知県日進市赤池南一丁目206","4700127","35.11648","137.0149","993","",""
"23230","","街区公園","赤池南2号公園","愛知県日進市赤池南二丁目1501","4700127","35.11404","137.0187","1717","",""
"23230","","街区公園","赤池南3号公園","愛知県日進市赤池南二丁目201","4700127","35.1159","137.02","1129","",""
"23230","","街区公園","たけのこ公園","愛知県日進市竹の山二丁目1501","4700136","35.15693","137.0363","5000","",""
"23230","","街区公園","竹の山南公園","愛知県日進市竹の山五丁目2314","4700136","35.14816","137.0385","1500","",""
"23230","","街区公園","たかねやま公園","愛知県日進市赤池三丁目1501","4700125","35.11874","137.0173","2200","",""
"23230","","街区公園","仲芝公園","愛知県日進市米野木台三丁目401","4700118","35.12971","137.0623","2312","",""
"23230","","街区公園","向山公園","愛知県日進市米野木台二丁目1201","4700118","35.12602","137.0632","999","",""
"23230","","街区公園","廻間公園","愛知県日進市米野木台一丁目701","4700118","35.12362","137.0655","2498","",""
"23230","","街区公園","広久手公園","愛知県日進市米野木台五丁目1103","4700118","35.12704","137.0671","2092","",""
"23230","","街区公園","傘松公園","愛知県日進市米野木台六丁目404","4700118","35.12915","137.0702","1301","",""
"23230","","街区公園","荒池公園","愛知県日進市米野木台四丁目107","4700118","35.12861","137.0663","2696","",""
"23230","","街区公園","細口公園","愛知県日進市米野木台六丁目1102","4700118","35.12796","137.0692","1246","",""
"23230","","街区公園","竹の山西公園","愛知県日進市竹の山四丁目2404","4700136","35.15555","137.0303","3301","",""
"23230","","街区公園","菊水公園","愛知県日進市竹の山五丁目814","4700136","35.14916","137.04","1800","",""
"23230","","児童遊園","岩藤児童遊園","愛知県日進市岩崎町梅ノ木235","4700131","35.1471","137.05","1003.21","",""
"23230","","児童遊園","梅森児童遊園","愛知県日進市梅森町新田135-144","4700132","35.13603","137.0188","391.98","",""
"23230","","児童遊園","赤池児童遊園","愛知県日進市赤池南一丁目105","4700127","35.11727","137.0168","941","",""
"23230","","児童遊園","浅田児童遊園","愛知県日進市浅田町茶園39","4700124","35.12419","137.0238","696.95","",""
"23230","","児童遊園","東山一丁目児童遊園","愛知県日進市東山一丁目307","4700116","35.12857","137.0461","3143.53","",""
"23230","","児童遊園","野方児童遊園","愛知県日進市野方町東島352","4700123","35.12941","137.0315","912.61","",""
"23230","","児童遊園","梅森上松児童遊園","愛知県日進市梅森町上松288-5","4700132","35.13438","137.0214","1002.76","",""
"23230","","児童遊園","岩崎南口児童遊園","愛知県日進市岩崎町南口67","4700131","35.14103","137.0363","1165.36","",""
"23230","","児童遊園","蟹甲児童遊園","愛知県日進市蟹甲町中屋敷492-3","4700122","35.13002","137.0428","814.52","",""
"23230","","児童遊園","東山六丁目児童遊園","愛知県日進市東山六丁目1007","4700116","35.12426","137.0559","763.01","",""
"23230","","児童遊園","北新田相野山児童遊園","愛知県日進市北新町東相野山1410-1","4700103","35.15104","137.061","414.92","",""
"23230","","児童遊園","米野木福成児童遊園","愛知県日進市米野木町福成47","4700111","35.13055","137.0637","1071.07","",""
"23230","","児童遊園","三本木児童遊園","愛知県日進市三本木町廻間119-1","4700101","35.14216","137.0802","715.56","",""
"23230","","ちびっこ広場","米野木仲田ちびっこ広場","愛知県日進市米野木町仲田35-19","4700111","35.13314","137.0619","318.48","",""
"23230","","ちびっこ広場","米野木丸山ちびっこ広場","愛知県日進市米野木町丸山146","4700111","35.13515","137.072","761.84","",""
"23230","","ちびっこ広場","折戸藤塚北ちびっこ広場","愛知県日進市藤塚六丁目11","4700117","35.11574","137.0346","1426.12","",""
"23230","","ちびっこ広場","折戸藤塚南ちびっこ広場","愛知県日進市藤塚六丁目135","4700117","35.113","137.0347","435.85","",""
"23230","","ちびっこ広場","東山西ちびっこ広場","愛知県日進市東山七丁目710","4700116","35.12723","137.0529","1693.73","",""
"23230","","ちびっこ広場","東山南ちびっこ広場","愛知県日進市東山五丁目501","4700116","35.12428","137.0533","1905.13","",""
"23230","","ちびっこ広場","東山東ちびっこ広場","愛知県日進市東山六丁目1903","4700116","35.12601","137.057","1880.73","",""
"23230","","ちびっこ広場","藤枝奥廻間北ちびっこ広場","愛知県日進市藤枝町奥廻間1237-133","4700112","35.12465","137.061","618.29","",""
"23230","","ちびっこ広場","藤枝奥廻間南ちびっこ広場","愛知県日進市藤枝町奥廻間1192-98","4700112","35.12235","137.0599","1048.79","",""
"23230","","ちびっこ広場","岩崎岩根ちびっこ広場","愛知県日進市岩崎町岩根151","4700131","35.14799","137.0332","1561.8","",""
"23230","","ちびっこ広場","南ケ丘ちびっこ広場","愛知県日進市南ケ丘一丁目6","4700114","35.1128","137.0426","2071.92","",""
